x,y
0.000229992,1.09084348806758E-05
0.00023088,1.08976016937222E-05
0.000231768,1.08865472190726E-05
0.000232656,1.08752022242372E-05
0.000233544,1.08635073779111E-05
0.000234432,1.0851428153874E-05
0.00023532,1.08389782653413E-05
0.000236208,1.08262401086021E-05
0.000237096,1.08133618316151E-05
0.000237984,1.08005211590129E-05
0.000238872,1.0787874443581E-05
0.00023976,1.0775522522807E-05
0.000240648,1.07635058650131E-05
0.000241536,1.07518180101662E-05
0.000242424,1.07404215631148E-05
0.000243312,1.0729257522739E-05
0.0002442,1.07182446026549E-05
0.000245088,1.07072684423378E-05
0.000245976,1.0696163787053E-05
0.000246864,1.06846981410986E-05
0.000247752,1.06725752474796E-05
0.00024864,1.06594926226419E-05
0.000249528,1.06452866898313E-05
0.000250416,1.06300893064267E-05
0.000251304,1.06142633172817E-05
0.000252192,1.05981787594679E-05
0.00025308,1.05822103978722E-05
0.000253968,1.05667922605151E-05
0.000254856,1.05522276088864E-05
0.000255744,1.05385388635946E-05
0.000256632,1.05255537023438E-05
0.00025752,1.05130445157734E-05
0.000258408,1.05007968518683E-05
0.000259296,1.04886188520405E-05
0.000260184,1.04763248878337E-05
0.000261072,1.04637115376085E-05
0.00026196,1.04505378579093E-05
0.000262848,1.04365328717467E-05
0.000263736,1.04214804086545E-05
0.000264624,1.04054143028038E-05
0.000265512,1.03887514611596E-05
0.0002664,1.03720831998916E-05
0.000267288,1.03558795955988E-05
0.000268176,1.03404453592423E-05
0.000269064,1.03259254755194E-05
0.000269952,1.03122836956924E-05
0.00027084,1.02993474890078E-05
0.000271728,1.02868893721649E-05
0.000272616,1.0274686466286E-05
0.000273504,1.026255189501E-05
0.000274392,1.02503522249853E-05
0.00027528,1.0238018129026E-05
0.000276168,1.02255415777671E-05
0.000277056,1.02129448319819E-05
0.000277944,1.02002159953904E-05
0.000278832,1.01872209359571E-05
0.00027972,1.01735847190982E-05
0.000280608,1.01584953304214E-05
0.000281496,1.01406154633198E-05
0.000282384,1.01198621887859E-05
0.000283272,1.00997115900152E-05
0.00028416,1.00812527222198E-05
0.000285048,1.00624023638518E-05
0.000285936,1.00432879883281E-05
0.000286824,1.00268358832405E-05
0.000287712,1.00132487400899E-05
0.0002886,1.00013374596808E-05
0.000289488,9.99031960615265E-06
0.000290376,9.97977720548252E-06
0.000291264,9.96946088054936E-06
0.000292152,9.9591840032113E-06
0.00029304,9.9487646230959E-06
0.000293928,9.93798235040932E-06
0.000294816,9.92652995210364E-06
0.000295704,9.91394369436875E-06
0.000296592,9.89951895248201E-06
0.00029748,9.88236129926043E-06
0.000298368,9.86213436217282E-06
0.000299256,9.84061765545944E-06
0.000300144,9.82091430391945E-06
0.000301032,9.80415787507305E-06
0.00030192,9.78964938808033E-06
0.000302808,9.77648096414323E-06
0.000303696,9.76401010145859E-06
0.000304584,9.75180527924468E-06
0.000305472,9.73953741311334E-06
0.00030636,9.72689053200788E-06
0.000307248,9.71347174492964E-06
0.000308136,9.698681282431E-06
0.000309024,9.68151478659157E-06
0.000309912,9.6607126127532E-06
0.0003108,9.63739145726296E-06
0.000311688,9.61597956191635E-06
0.000312576,9.59782167520472E-06
0.000313464,9.58208272461584E-06
0.000314352,9.56793043788536E-06
0.00031524,9.55476503818393E-06
0.000316128,9.54215469388555E-06
0.000317016,9.52976016804354E-06
0.000317904,9.51726668124628E-06
0.000318792,9.50431432957257E-06
